Period 	 T100 	 T0 
360 	 3.740000 	 2.747000 
Point Number 	 Temperature 
 833 	 61.730998 
 834 	 61.401336 
 835 	 61.678946 
 836 	 61.331933 
 837 	 61.314583 
 838 	 61.696296 
 839 	 61.279882 
 840 	 61.661595 
 841 	 61.297232 
 842 	 61.262531 
 843 	 61.644245 
 844 	 61.210479 
 845 	 61.522790 
 846 	 61.158427 
 847 	 61.123726 
 848 	 61.141077 
 849 	 61.418687 
 850 	 61.401336 
 851 	 61.054324 
 852 	 61.453388 
 853 	 61.349284 
 854 	 61.331933 
 855 	 61.002272 
 856 	 61.314583 
 857 	 61.453388 
 858 	 61.383985 
 859 	 61.279882 
 860 	 60.932869 
 861 	 60.898168 
 862 	 60.880818 
 863 	 61.210479 
 864 	 61.210479 
 865 	 60.846116 
 866 	 61.175778 
 867 	 60.794064 
 868 	 61.175778 
 869 	 60.724662 
 870 	 60.742013 
 871 	 61.019622 
 872 	 61.019622 
 873 	 61.036973 
 874 	 60.655260 
 875 	 61.019622 
 876 	 60.603208 
 877 	 60.585857 
 878 	 60.568507 
 879 	 60.533805 
 880 	 60.915519 
 881 	 60.533805 
 882 	 60.516455 
 883 	 60.811415 
 884 	 60.464403 
 885 	 60.447052 
 886 	 60.395000 
 887 	 60.395000 
 888 	 60.724662 
 889 	 60.724662 
 890 	 60.342949 
 891 	 60.290897 
 892 	 60.308247 
 893 	 60.707311 
 894 	 60.273546 
 895 	 60.204144 
 896 	 60.637909 
 897 	 60.204144 
 898 	 60.551156 
 899 	 60.134741 
 900 	 60.464403 
 901 	 60.100040 
 902 	 60.082689 
 903 	 60.082689 
 904 	 60.412351 
 905 	 59.995936 
 906 	 60.342949 
 907 	 60.013287 
 908 	 59.961235 
 909 	 59.995936 
 910 	 59.961235 
 911 	 59.926534 
 912 	 59.891833 
 913 	 60.273546 
 914 	 60.238845 
 915 	 59.839781 
 916 	 59.822430 
 917 	 60.152092 
 918 	 59.770378 
 919 	 59.995936 
 920 	 60.030638 
 921 	 59.718327 
 922 	 59.666275 
 923 	 60.047988 
 924 	 59.995936 
 925 	 59.631574 
 926 	 59.961235 
 927 	 59.995936 
 928 	 59.579522 
 929 	 59.527470 
 930 	 59.943885 
 931 	 59.527470 
 932 	 59.839781 
 933 	 59.857132 
 934 	 59.440717 
 935 	 59.423366 
 936 	 59.787729 
 937 	 59.353964 
 938 	 59.648924 
 939 	 59.700976 
 940 	 59.319263 
 941 	 59.267211 
 942 	 59.683625 
 943 	 59.267211 
 944 	 59.249860 
 945 	 59.787729 
 946 	 59.215159 
 947 	 59.492769 
 948 	 59.145757 
 949 	 59.093705 
 950 	 59.492769 
 951 	 59.093705 
 952 	 59.059004 
 953 	 59.406016 
 954 	 58.989601 
 955 	 59.301912 
 956 	 59.249860 
 957 	 58.972250 
 958 	 59.371314 
 959 	 59.215159 
 960 	 59.232510 
 961 	 59.249860 
 962 	 58.850796 
 963 	 59.180458 
 964 	 58.816095 
 965 	 58.850796 
 966 	 59.180458 
 967 	 58.729342 
 968 	 59.024302 
 969 	 59.041653 
 970 	 58.694641 
 971 	 58.642589 
 972 	 58.642589 
 973 	 58.625238 
 974 	 58.590537 
 975 	 58.590537 
 976 	 59.024302 
 977 	 58.503784 
 978 	 58.885497 
 979 	 58.868147 
 980 	 58.833446 
 981 	 58.868147 
 982 	 58.451732 
 983 	 58.850796 
 984 	 58.434382 
 985 	 58.347629 
 986 	 58.382330 
 987 	 58.330278 
 988 	 58.312927 
 989 	 58.278226 
 990 	 58.243525 
 991 	 58.226174 
 992 	 58.226174 
 993 	 58.607888 
 994 	 58.191473 
 995 	 58.156772 
 996 	 58.139421 
 997 	 58.156772 
 998 	 58.104720 
 999 	 58.052668 
 1000 	 58.434382 
 1001 	 58.052668 
 1002 	 58.330278 
 1003 	 58.000616 
 1004 	 58.278226 
 1005 	 58.226174 
 1006 	 57.913863 
 1007 	 57.896513 
 1008 	 57.913863 
 1009 	 58.278226 
 1010 	 57.861812 
 1011 	 58.174123 
 1012 	 57.809760 
 1013 	 57.775059 
 1014 	 57.740357 
 1015 	 58.122071 
 1016 	 58.052668 
 1017 	 57.636254 
 1018 	 57.618903 
 1019 	 57.948565 
 1020 	 57.618903 
 1021 	 57.861812 
 1022 	 57.514800 
 1023 	 57.861812 
 1024 	 57.514800 
 1025 	 57.792409 
 1026 	 57.480098 
 1027 	 57.445397 
 1028 	 57.393345 
 1029 	 57.792409 
 1030 	 57.323943 
 1031 	 57.358644 
 1032 	 57.688306 
 1033 	 57.289242 
 1034 	 57.636254 
 1035 	 57.480098 
 1036 	 57.532150 
 1037 	 57.202489 
 1038 	 57.167787 
 1039 	 57.532150 
 1040 	 57.462748 
 1041 	 57.445397 
 1042 	 57.115736 
 1043 	 57.341293 
 1044 	 57.497449 
 1045 	 57.323943 
 1046 	 56.976931 
 1047 	 56.942230 
 1048 	 57.323943 
 1049 	 56.907528 
 1050 	 56.890178 
 1051 	 56.855477 
 1052 	 56.855477 
 1053 	 57.167787 
 1054 	 56.820775 
 1055 	 57.185138 
 1056 	 57.046333 
 1057 	 57.133086 
 1058 	 57.063684 
 1059 	 57.098385 
 1060 	 56.942230 
 1061 	 56.629919 
 1062 	 56.994281 
 1063 	 56.560516 
 1064 	 56.855477 
 1065 	 56.491114 
 1066 	 56.543166 
 1067 	 56.942230 
 1068 	 56.473763 
 1069 	 56.768724 
 1070 	 56.786074 
 1071 	 56.387010 
 1072 	 56.647269 
 1073 	 56.751373 
 1074 	 56.317608 
 1075 	 56.282907 
 1076 	 56.681971 
 1077 	 56.248205 
 1078 	 56.577867 
 1079 	 56.265556 
